mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	4.0	0	4/4	1	0		1			firstMeasure	2
2	1	4	8.0	0	4/2	2	0						3
3	2	12	8.0	0	4/2	2	0						4
4	3	20	8.0	0	4/2	2	0						5
5	4	28	8.0	0	4/2	2	0						6
6	5	36	8.0	0	4/2	2	0						7
7	6	44	8.0	0	4/2	2	0						8
8	7	52	8.0	0	4/2	2	0						9
9	8	60	8.0	0	4/2	2	0						10
10	9	68	8.0	0	4/2	2	0						11
11	10	76	8.0	0	4/2	2	0						12
12	11	84	8.0	0	4/2	2	0						13
13	12	92	8.0	0	4/2	2	0						14
14	13	100	8.0	0	4/2	2	0						15
15	14	108	8.0	0	4/2	2	0						16
16	15	116	8.0	0	4/2	2	0						17
17	16	124	8.0	0	4/2	2	0						18
18	17	132	8.0	0	4/2	2	0				line		19
19	18	140	8.0	-1	4/2	2	0						20
20	19	148	8.0	-1	4/2	2	0						21
21	20	156	8.0	-1	4/2	2	0						22
22	21	164	8.0	-1	4/2	2	0						23
23	22	172	8.0	-1	4/2	2	0						24
24	23	180	8.0	-1	4/2	2	0						25
25	24	188	8.0	-1	4/2	2	0						26
26	25	196	8.0	-1	4/2	2	0						27
27	26	204	8.0	-1	4/2	2	0						28
28	27	212	8.0	-1	4/2	2	0						29
29	28	220	8.0	-1	4/2	2	0						30
30	29	228	8.0	-1	4/2	2	0						31
31	30	236	8.0	-1	4/2	2	0						32
32	31	244	8.0	-1	4/2	2	0						33
33	32	252	6.0	-1	6/4	3/2	0						34
34	33	258	3.0	-1	6/4	3/4	0						35
35	33	261	4.0	-1	4/2	1	1		1				36
36	34	265	8.0	-1	4/2	2	0						37
37	35	273	8.0	-1	4/2	2	0						38
38	36	281	8.0	0	4/2	2	0						39
39	37	289	8.0	0	4/2	2	0						40
40	38	297	8.0	0	4/2	2	0						41
41	39	305	8.0	0	4/2	2	0						42
42	40	313	8.0	0	4/2	2	0						43
43	41	321	2.0	0	4/2	1/2	0						44
44	41	323	2.0	0	4/2	1/2	3/2		1				45
45	42	325	12.0	0	6/2	3	0						46
46	43	337	8.0	0	4/2	2	0						47
47	44	345	8.0	0	4/2	2	0			double			48
48	45	353	8.0	0	4/2	2	0						49
49	46	361	8.0	0	4/2	2	0						50
50	47	369	8.0	0	4/2	2	0						51
51	48	377	8.0	0	4/2	2	0						52
52	49	385	8.0	0	4/2	2	0						53
53	50	393	8.0	0	4/2	2	0						54
54	51	401	8.0	0	4/2	2	0						55
55	52	409	8.0	0	4/2	2	0						56
56	53	417	8.0	0	4/2	2	0						57
57	54	425	8.0	-2	4/2	2	0						58
58	55	433	8.0	-2	4/2	2	0						59
59	56	441	8.0	-2	4/2	2	0						60
60	57	449	8.0	-2	4/2	2	0						61
61	58	457	8.0	-2	4/2	2	0						62
62	59	465	8.0	-2	4/2	2	0						63
63	60	473	8.0	-1	4/2	2	0						64
64	61	481	8.0	-1	4/2	2	0						65
65	62	489	8.0	-1	4/2	2	0						66
66	63	497	8.0	-1	4/2	2	0						67
67	64	505	8.0	-1	4/2	2	0						68
68	65	513	8.0	-1	4/2	2	0						69
69	66	521	8.0	-1	4/2	2	0						70
70	67	529	8.0	-1	4/2	2	0						71
71	68	537	8.0	-1	4/2	2	0						72
72	69	545	8.0	-1	4/2	2	0						73
73	70	553	8.0	-1	4/2	2	0						74
74	71	561	8.0	-1	4/2	2	0						75
75	72	569	8.0	-1	4/2	2	0						76
76	73	577	8.0	-1	4/2	2	0						77
77	74	585	8.0	-1	4/2	2	0						78
78	75	593	8.0	-1	4/2	2	0						79
79	76	601	8.0	-1	4/2	2	0						80
80	77	609	8.0	-1	4/2	2	0						81
81	78	617	8.0	-1	4/2	2	0						82
82	79	625	8.0	-1	4/2	2	0						83
83	80	633	8.0	-1	4/2	2	0						84
84	81	641	8.0	-1	4/2	2	0						85
85	82	649	8.0	-1	4/2	2	0						86
86	83	657	8.0	-1	4/2	2	0						87
87	84	665	8.0	-1	4/2	2	0						88
88	85	673	8.0	-1	4/2	2	0						89
89	86	681	8.0	-1	4/2	2	0						90
90	87	689	8.0	-1	4/2	2	0						91
91	88	697	8.0	-1	4/2	2	0						92
92	89	705	8.0	-1	4/2	2	0						93
93	90	713	8.0	-1	4/2	2	0						94
94	91	721	8.0	-1	4/2	2	0						95
95	92	729	8.0	-1	4/2	2	0						96
96	93	737	12.0	-1	6/2	3	0						97
97	94	749	12.0	-1	6/2	3	0						98
98	95	761	12.0	-1	6/2	3	0						99
99	96	773	12.0	-1	6/2	3	0			double			100
100	97	785	8.0	-1	4/2	2	0						101
101	98	793	8.0	-1	4/2	2	0						102
102	99	801	8.0	-1	4/2	2	0						103
103	100	809	8.0	-1	4/2	2	0						104
104	101	817	8.0	-1	4/2	2	0						105
105	102	825	8.0	-1	4/2	2	0						106
106	103	833	8.0	-1	4/2	2	0						107
107	104	841	8.0	-1	4/2	2	0						108
108	105	849	8.0	-1	4/2	2	0						109
109	106	857	8.0	-1	4/2	2	0						110
110	107	865	8.0	-1	4/2	2	0						111
111	108	873	8.0	-1	4/2	2	0						112
112	109	881	8.0	-1	4/2	2	0						113
113	110	889	8.0	-1	4/2	2	0						114
114	111	897	8.0	-1	4/2	2	0						115
115	112	905	8.0	-1	4/2	2	0						116
116	113	913	8.0	-1	4/2	2	0						117
117	114	921	8.0	-1	4/2	2	0						118
118	115	929	8.0	-1	4/2	2	0						119
119	116	937	4.0	-1	2/2	1	0					lastMeasure	-1
