mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
2	1	0	0	4/2	21	1	1	1	1		1	43		10
2	1	0	0	4/2	14	1	1/4	1/4	1		5	59		0
2	1	1/4	1/4	4/2	14	1	1/8	1/8	1		5	59		1
2	1	3/8	3/8	4/2	14	1	1/8	1/8	1		5	59		2
2	1	1/2	1/2	4/2	14	1	3/8	1/4	3/2		2	62		3
2	1	7/8	7/8	4/2	14	1	1/8	1/8	1		3	57		4
2	1	1	1	4/2	21	1	1	1	1		1	43		11
2	1	1	1	4/2	14	1	1/2	1/2	1		5	59		5
2	1	3/2	3/2	4/2	14	1	1/8	1/8	1		5	59		6
2	1	13/8	13/8	4/2	14	1	1/8	1/8	1		2	62		7
2	1	7/4	7/4	4/2	14	1	1/8	1/8	1		2	62		8
2	1	15/8	15/8	4/2	14	1	1/8	1/8	1		0	60		9
3	2	0	0	4/2	21	1	3/4	1/2	3/2		0	48		21
3	2	0	0	4/2	14	1	3/8	1/4	3/2		4	64		12
3	2	3/8	3/8	4/2	14	1	1/8	1/8	1		2	62		13
3	2	1/2	1/2	4/2	14	1	1/8	1/8	1		0	60		14
3	2	5/8	5/8	4/2	14	1	1/8	1/8	1		5	59		15
3	2	3/4	3/4	4/2	21	1	1/4	1/4	1		4	52		22
3	2	3/4	3/4	4/2	14	1	1/8	1/8	1		3	57		16
3	2	7/8	7/8	4/2	14	1	1/8	1/8	1		1	55		17
3	2	1	1	4/2	21	1	1	1	1		2	50		23
3	2	1	1	4/2	14	1	1/2	1/2	1		3	57		18
3	2	3/2	3/2	4/2	14	1	1/4	1/4	1		3	57		19
3	2	7/4	7/4	4/2	14	1	1/4	1/4	1		6	54		20
4	3	0	0	4/2	21	1	1	1	1		1	43		33
4	3	0	0	4/2	14	1	1/2	1/2	1		1	55		24
4	3	1/2	1/2	4/2	14	1	1/4	1/4	1		1	55		25
4	3	3/4	3/4	4/2	14	1	1/8	1/8	1		1	55		26
4	3	7/8	7/8	4/2	14	1	1/8	1/8	1		3	57		27
